,user_id,created_time,object_type,url,page_type,url_split
1759,5,Tue Jun 26 22:46:53 2018,,group-admin-members/3?filter=requestedList&track_id=5af34352c803a05a6c535146&src=n,group admin,group-admin-members
1760,5,Tue Jun 26 22:46:53 2018,2.0,group-admin-members/3?filter=requestedList,group page,group-admin-members
1761,5,Tue Jun 26 22:49:04 2018,,myGroups,mygroups,myGroups
1762,5,Tue Jun 26 22:49:08 2018,,group-home/478,group home,group-home
1763,5,Tue Jun 26 22:49:09 2018,2.0,group-home/478,group page,group-home
1764,5,Tue Jun 26 22:49:30 2018,3.0,discussions-about/28222/0/,discussion page,discussions-about
1765,5,Tue Jun 26 22:50:00 2018,,group-home/478,group home,group-home
1766,5,Tue Jun 26 22:50:04 2018,,document-detail/130b96a4-7949-11e8-9f39-06e1b31daef4/478/478,document detail,document-detail
1768,5,Tue Jun 26 22:50:06 2018,14.0,document-reader/130b96a4-7949-11e8-9f39-06e1b31daef4/478/30120/478/0/?tabval=full,document detail,document-reader
1967,34,Fri Jun  1 05:39:24 2018,3.0,discussions-reply/29629/30872?track_id=5b108e26c803a00aeb27b963&src=n,discussion page,discussions-reply
1969,34,Fri Jun  1 19:46:17 2018,3.0,discussions-reply/29629/30874?track_id=5b10a032c803a00aeb27b975&src=n,discussion page,discussions-reply
1971,34,Sat Jun  2 06:26:04 2018,3.0,discussions-reply/29629/30912?track_id=5b11e7ddc803a0055e11d8d7&src=n,discussion page,discussions-reply
1973,34,Mon Jun  4 15:45:47 2018,3.0,discussions-reply/29629/30912,discussion page,discussions-reply
1975,34,Mon Jun  4 15:45:53 2018,,site-home?track_id=5b11e7ddc803a0055e11d8d7&src=n,site home,site-home
1976,34,Wed Jun  6 01:01:54 2018,3.0,discussions-reply/29629/30874,discussion page,discussions-reply
2016,39,Wed Jun 13 21:22:20 2018,3.0,discussions-reply/29861/31097,discussion page,discussions-reply
2110,48,Wed Jun 13 00:39:56 2018,14.0,document-reader/b80a4aaa-547c-11e8-9f39-06e1b31daef4/967/29334/967/0/?tabval=full,document detail,document-reader
2112,48,Tue Jun 19 23:20:42 2018,14.0,document-reader/c183d438-73e4-11e8-b504-022ab9c25860/967/29952/967/?track_id=5b293f7fc803a00bf51c5193&src=n,document detail,document-reader
2114,48,Tue Jun 19 23:21:12 2018,14.0,document-reader/c183d438-73e4-11e8-b504-022ab9c25860/967/29952/967/?tabval=anno,document detail,document-reader
2115,60,Tue Jun 12 22:12:07 2018,,pendingConnections?track_id=5a84a8b9aa9430e04a8b49cf&src=n,pending connection,pendingConnections
2116,60,Tue Jun 12 22:12:16 2018,,profile-edit/60,profile edit,profile-edit
2117,60,Tue Jun 12 22:12:16 2018,1.0,profile/60,profile page,profile
2118,60,Tue Jun 12 22:14:46 2018,,profile-edit/60,profile edit,profile-edit
2119,60,Tue Jun 12 22:14:46 2018,1.0,profile/60,profile page,profile
2120,80,Fri Jun  8 20:48:15 2018,5.0,event-detail/5359?track_id=5b159413c803a03fb812c68b&src=n,event page,event-detail
2122,80,Fri Jun  8 20:49:04 2018,5.0,event-detail/5359?track_id=5b159413c803a03fb812c68b&src=n,event page,event-detail
2546,102,Fri Jun 15 20:57:55 2018,,status-reply/29904/?track_id=5b237b64c803a03df067f5f1&src=n,status reply,status-reply
2547,102,Fri Jun 15 20:57:56 2018,2.0,status-reply/29904/,group page,status-reply
2548,102,Fri Jun 15 20:58:09 2018,,main-home,main home,main-home
2549,102,Fri Jun 15 20:58:37 2018,3.0,discussions-about/29782/0#commentList,discussion page,discussions-about
2551,102,Fri Jun 15 20:58:49 2018,,main-home,main home,main-home
2552,105,Fri Jun 22 20:27:31 2018,3.0,discussions-about/29974/,discussion page,discussions-about
2554,105,Sat Jun 23 00:55:26 2018,3.0,discussions-about/29974/,discussion page,discussions-about
2556,105,Sat Jun 23 21:38:03 2018,5.0,event-detail/5418?track_id=5b2e2140c803a073ed6b516b&src=d,event page,event-detail
2558,105,Wed Jun 27 19:47:12 2018,,main-home,main home,main-home
2559,105,Wed Jun 27 19:47:29 2018,3.0,discussions-about/29974/0/,discussion page,discussions-about
2561,105,Wed Jun 27 19:49:44 2018,3.0,discussions-about/29974/0/,discussion page,discussions-about
2630,128,Fri Jun 29 19:00:12 2018,,main-home,main home,main-home
2631,128,Fri Jun 29 19:00:18 2018,,myGroups,mygroups,myGroups
2695,149,Wed Jun 20 21:57:31 2018,3.0,discussions-reply/29964/?track_id=5b2a7eb4c803a00c095060e0&src=n,discussion page,discussions-reply
2697,149,Fri Jun 22 16:52:04 2018,3.0,discussions-reply/30008/?track_id=5b2cd2f3c803a054cc753fbd&src=n,discussion page,discussions-reply
2699,149,Fri Jun 22 17:01:21 2018,,notification,notification,notification
2983,170,Sat Jun  2 01:27:43 2018,14.0,document-reader/c5096f0d-65d1-11e8-9f39-06e1b31daef4/41/29703/41/?track_id=5b11a2c2c803a05f774845ec&src=n,document detail,document-reader
2985,170,Sat Jun 30 18:47:44 2018,14.0,document-reader/0773b679-7bde-11e8-b504-022ab9c25860/41/30248/41/0/1?track_id=5b36a036c803a00dcf25f8f3&src=n,document detail,document-reader
3510,203,Wed Jun 27 18:58:09 2018,,main-home,main home,main-home
3511,203,Wed Jun 27 18:59:00 2018,,group-about/3,about page,group-about
3512,203,Wed Jun 27 18:59:02 2018,2.0,group-about/3,group page,group-about
3513,203,Wed Jun 27 18:59:33 2018,,group-home/19,group home,group-home
3514,203,Wed Jun 27 18:59:34 2018,2.0,group-home/19,group page,group-home
3515,237,Wed Jun 13 01:05:53 2018,,document-detail/d219ecc1-6b50-11e8-9f39-06e1b31daef4/1463/1463,document detail,document-detail
3516,237,Wed Jun 13 01:05:54 2018,2.0,document-detail/d219ecc1-6b50-11e8-9f39-06e1b31daef4/1463/1463,group page,document-detail
3518,237,Wed Jun 13 01:05:56 2018,14.0,document-reader/d219ecc1-6b50-11e8-9f39-06e1b31daef4/1463/29821/1463/0/?tabval=full,document detail,document-reader
3532,244,Tue Jun 19 19:18:39 2018,3.0,discussions-about/29941/?track_id=5b28db40c803a00beb0b3f1a&src=d,discussion page,discussions-about
3534,250,Tue Jun 26 04:23:32 2018,5.0,event-detail/5418?track_id=5b2d4638c803a00cce1f1a07&src=n,event page,event-detail
3536,250,Tue Jun 26 04:23:49 2018,3.0,discussions-about/29974/0,discussion page,discussions-about
3537,256,Tue Jun 26 23:17:00 2018,,group-about/1865?track_id=5b300ceec803a03f1e72ad93&src=n,about page,group-about
3584,297,Tue Jun 12 22:26:44 2018,,group-discussions/1136,discussion,group-discussions
3585,297,Tue Jun 12 22:26:47 2018,2.0,group-discussions/1136,group page,group-discussions
3586,297,Tue Jun 12 22:27:10 2018,,search?search_text=community%20playbook&object_type=0,search,search
3587,297,Tue Jun 12 22:59:14 2018,3.0,discussions-reply/29538/31053?track_id=5b1f15aec803a0587e122ce2&src=n,discussion page,discussions-reply
3590,297,Wed Jun 27 03:30:24 2018,3.0,discussions-about/30146/?track_id=5b32a5cec803a0775860158c&src=n,discussion page,discussions-about
3610,320,Fri Jun 15 21:34:16 2018,3.0,discussions-about/29884/0/1?track_id=5b214384c803a01a5d79e3d5&src=n,discussion page,discussions-about
3613,320,Fri Jun 15 21:46:05 2018,3.0,discussions-about/29884/0/1,discussion page,discussions-about
3615,320,Fri Jun 15 23:32:22 2018,3.0,discussions-about/29884/0/1,discussion page,discussions-about
3940,383,Fri Jun 29 21:15:31 2018,4.0,status/30116/?track_id=5b3650c9c803a0739b7027c9&src=w,status,status
3941,385,Wed Jun 20 19:25:15 2018,3.0,discussions-about/29788/0/,discussion page,discussions-about
3943,386,Thu Jun 28 00:27:45 2018,,document-detail/d32a83d8-7a19-11e8-b504-022ab9c25860/1354/1354,document detail,document-detail
3944,386,Thu Jun 28 00:27:47 2018,2.0,document-detail/d32a83d8-7a19-11e8-b504-022ab9c25860/1354/1354,group page,document-detail
3946,386,Thu Jun 28 00:27:52 2018,14.0,document-reader/d32a83d8-7a19-11e8-b504-022ab9c25860/1354/30157/1354/0/?tabval=full,document detail,document-reader
3947,386,Thu Jun 28 00:35:22 2018,,main-home,main home,main-home
3949,392,Thu Jun 14 16:26:04 2018,14.0,document-reader/17ab5e4c-6b37-11e8-9f39-06e1b31daef4/41/29817/41/?track_id=5b1ab028c803a079c47b39f5&src=n,document detail,document-reader
3950,392,Thu Jun 14 16:27:37 2018,,group-library/41,library,group-library
3951,392,Thu Jun 14 16:27:43 2018,,main-home,main home,main-home
3952,392,Thu Jun 14 16:27:54 2018,1.0,profile/1,profile page,profile
4007,443,Thu Jun 14 22:56:13 2018,3.0,discussions-about/29788/0/,discussion page,discussions-about
4009,443,Wed Jun 27 18:41:21 2018,3.0,discussions-about/30132/?track_id=5b33674ac803a037bf3ce8b1&src=d,discussion page,discussions-about
4011,459,Sat Jun  2 01:21:07 2018,4.0,status/29702/0/1?track_id=5b119b08c803a02d4e66912c&src=n,status,status
4013,459,Thu Jun 14 01:03:21 2018,3.0,discussions-reply/29884/?track_id=5b214385c803a01a5d79e3da&src=n,discussion page,discussions-reply
4015,461,Fri Jun 22 20:34:02 2018,,main-home,main home,main-home
4016,461,Fri Jun 22 20:34:07 2018,,discussions,discussion,discussions
4017,461,Fri Jun 22 20:34:38 2018,3.0,discussions-about/24523/0/,discussion page,discussions-about
4019,461,Fri Jun 22 20:34:55 2018,3.0,discussions-about/24523/0/,discussion page,discussions-about
4021,474,Tue Jun 26 02:18:48 2018,3.0,discussions-about/24523/0/,discussion page,discussions-about
4023,474,Tue Jun 26 02:19:07 2018,,document-detail/cba0736c-d433-11e7-a162-022ab9c25860/3/3,document detail,document-detail
4025,474,Tue Jun 26 02:19:11 2018,14.0,document-reader/cba0736c-d433-11e7-a162-022ab9c25860/3/24575/3/0/?tabval=full,document detail,document-reader
4026,495,Sun Jun 24 21:35:55 2018,,group-about/3,about page,group-about
4027,495,Sun Jun 24 21:35:57 2018,2.0,group-about/3,group page,group-about
4029,506,Tue Jun  5 00:00:30 2018,14.0,document-reader/c1fcaa5c-65b4-11e8-9f39-06e1b31daef4/3/29688/3/?track_id=5b1271c4c803a05f77484a5a&src=d,document detail,document-reader
4031,506,Tue Jun  5 00:02:40 2018,14.0,document-reader/c1fcaa5c-65b4-11e8-9f39-06e1b31daef4/3/29688/3/?track_id=5b1271c4c803a05f77484a5a&src=d,document detail,document-reader
4032,506,Tue Jun  5 00:24:00 2018,,group-library/3,library,group-library
4033,506,Fri Jun  8 00:25:35 2018,3.0,discussions-about/29783/0,discussion page,discussions-about
4035,506,Thu Jun 14 21:57:32 2018,3.0,discussions-about/29885/?track_id=5b2243c6c803a030c86d660d&src=d,discussion page,discussions-about
4037,506,Mon Jun 25 23:23:37 2018,3.0,discussions-about/24523/0/,discussion page,discussions-about
4039,506,Mon Jun 25 23:26:55 2018,3.0,discussions-about/24523/0/,discussion page,discussions-about
4041,506,Fri Jun 29 22:06:57 2018,3.0,discussions-about/30145/,discussion page,discussions-about
4043,508,Fri Jun  1 21:18:04 2018,3.0,discussions-about/29629/?track_id=5b1166bdc803a0513946bc55&src=w,discussion page,discussions-about
4045,508,Fri Jun  1 21:38:03 2018,,group-discussions/3,discussion,group-discussions
4046,508,Fri Jun  1 21:38:59 2018,,profile-edit/508,profile edit,profile-edit
4047,508,Fri Jun  1 21:38:59 2018,1.0,profile/508,profile page,profile
4048,508,Fri Jun  1 21:39:01 2018,,email-notification,notification,email-notification
4049,508,Fri Jun  1 21:39:05 2018,,profile-edit/508,profile edit,profile-edit
4050,508,Fri Jun  1 21:39:06 2018,1.0,profile/508,profile page,profile
4051,508,Fri Jun  1 21:39:22 2018,,email-notification,notification,email-notification
4052,508,Wed Jun 20 22:23:00 2018,3.0,discussions-about/29885/?track_id=5b23dbccc803a02cd179b388&src=w,discussion page,discussions-about
4054,515,Fri Jun  1 22:10:05 2018,,email-notification?src=n,notification,email-notification
4055,515,Fri Jun  1 22:10:09 2018,,manageAccount/,manageaccount,manageAccount
4056,515,Fri Jun  1 22:10:13 2018,,manageAccount/tabEmail,manageaccount,manageAccount
4057,515,Thu Jun  7 20:07:13 2018,4.0,status/29775/?track_id=5b193a37c803a02f875867cf&src=n,status,status
4059,515,Thu Jun  7 20:07:19 2018,,profile-edit/515,profile edit,profile-edit
4060,515,Thu Jun  7 20:07:19 2018,1.0,profile/515,profile page,profile
4061,515,Thu Jun  7 20:07:56 2018,,manageAccount/,manageaccount,manageAccount
4062,515,Thu Jun  7 20:07:59 2018,,manageAccount/tabEmail,manageaccount,manageAccount
4063,515,Thu Jun  7 20:13:22 2018,,main-home,main home,main-home
4064,537,Fri Jun 29 23:35:41 2018,,group-about/3,about page,group-about
4065,537,Fri Jun 29 23:35:42 2018,2.0,group-about/3,group page,group-about
4066,537,Fri Jun 29 23:39:17 2018,,group-discussions/3,discussion,group-discussions
4067,537,Fri Jun 29 23:39:19 2018,,group-about/3,about page,group-about
4068,537,Sat Jun 30 00:03:43 2018,,group-discussions/3,discussion,group-discussions
4069,537,Sat Jun 30 00:03:55 2018,3.0,discussions-about/30178/0/,discussion page,discussions-about
4070,562,Mon Jun 18 07:11:38 2018,,main-home,main home,main-home
4071,562,Fri Jun 22 22:57:12 2018,3.0,discussions-about/30014/?track_id=5b2d2ed2c803a054cc75414d&src=n,discussion page,discussions-about
4073,562,Fri Jun 22 22:57:19 2018,,group-library/1529/,library,group-library
4074,562,Fri Jun 22 22:57:31 2018,3.0,discussions-about/30014/,discussion page,discussions-about
4075,562,Fri Jun 22 22:57:43 2018,,group-library/1529/,library,group-library
4076,562,Fri Jun 29 22:02:16 2018,3.0,discussions-about/30014/0/1?track_id=5b2d2ed2c803a054cc75414d&src=n,discussion page,discussions-about
4078,562,Fri Jun 29 22:02:22 2018,,group-library/1529/,library,group-library
4080,568,Wed Jun  6 18:25:33 2018,14.0,document-reader/8d227ff1-68ce-11e8-b504-022ab9c25860/1886/29725/1886/?track_id=5b17b7c4c803a05ca30a1d02&src=d,document detail,document-reader
4081,573,Wed Jun 20 00:00:21 2018,,group-home/1874,group home,group-home
4082,573,Wed Jun 20 00:00:21 2018,2.0,group-home/1874,group page,group-home
4083,573,Wed Jun 20 00:11:46 2018,,group-home/1874,group home,group-home
4084,610,Mon Jun 25 13:50:37 2018,3.0,discussions-about/29974/,discussion page,discussions-about
4086,610,Mon Jun 25 13:54:53 2018,,main-home,main home,main-home
4087,610,Tue Jun 26 13:51:36 2018,,main-home,main home,main-home
4118,623,Thu Jun  7 00:00:22 2018,3.0,discussions-about/29755/0/1?track_id=5b17fba3c803a0514d2bee4b&src=n,discussion page,discussions-about
4120,623,Thu Jun  7 00:00:53 2018,,group-discussions/1874,discussion,group-discussions
4121,623,Thu Jun  7 00:03:16 2018,,search?search_text=shipman&groups=1874,search,search
4122,623,Thu Jun  7 00:03:17 2018,2.0,search?search_text=shipman&groups=1874&my_groups_only=&limit=5&offset=0,group page,search
4123,623,Thu Jun  7 00:03:32 2018,1.0,profile/149,profile page,profile
4124,623,Thu Jun  7 00:04:18 2018,,main-home,main home,main-home
4253,661,Mon Jun 11 07:43:45 2018,3.0,discussions-about/29779/?track_id=5b1a5ac8c803a001b1078df3&src=d,discussion page,discussions-about
4455,692,Thu Jun 28 06:42:00 2018,,group-admin-members/1489?filter=requestedList&track_id=5b325402c803a077586010a0&src=n,group admin,group-admin-members
4456,692,Thu Jun 28 06:42:00 2018,2.0,group-admin-members/1489?filter=requestedList,group page,group-admin-members
4457,692,Thu Jun 28 06:42:09 2018,,group-admin-members/1489,group admin,group-admin-members
4491,715,Thu Jun  7 20:16:51 2018,14.0,document upload,document detail,document upload
4493,715,Tue Jun 26 00:57:06 2018,14.0,document-reader/3dbea3eb-78a9-11e8-b504-022ab9c25860/478/30103/478/?track_id=5b313f1ec803a037bf3cdf50&src=n,document detail,document-reader
4494,715,Tue Jun 26 19:14:37 2018,,main-home,main home,main-home
4495,715,Tue Jun 26 19:14:44 2018,,myGroups,mygroups,myGroups
4496,715,Tue Jun 26 19:14:53 2018,,group-home/447,group home,group-home
4497,715,Tue Jun 26 19:14:53 2018,2.0,group-home/447,group page,group-home
4498,715,Tue Jun 26 20:22:04 2018,,group-home/478,group home,group-home
4499,715,Tue Jun 26 20:22:04 2018,2.0,group-home/478,group page,group-home
4500,729,Fri Jun  1 19:18:14 2018,,pendingConnections?track_id=5b105f82c803a00aeb27b924&src=n,pending connection,pendingConnections
4501,729,Fri Jun  1 19:20:24 2018,,profile-edit/729,profile edit,profile-edit
4502,729,Fri Jun  1 19:20:24 2018,1.0,profile/729,profile page,profile
4503,729,Fri Jun  1 19:25:10 2018,,profile-edit/729,profile edit,profile-edit
4504,729,Fri Jun  1 19:25:10 2018,1.0,profile/729,profile page,profile
4505,729,Fri Jun 22 22:38:06 2018,3.0,discussions-about/29818/,discussion page,discussions-about
4507,729,Fri Jun 22 22:38:51 2018,,site-home,site home,site-home
4526,763,Tue Jun 26 00:11:31 2018,3.0,discussions-about/30093/0/1?track_id=5b312b2fc803a054c41c9ac0&src=n,discussion page,discussions-about
4528,763,Tue Jun 26 22:54:27 2018,3.0,discussions-reply/30093/31350?track_id=5b324fcac803a07758601073&src=n,discussion page,discussions-reply
4530,763,Tue Jun 26 23:27:26 2018,,group-about/507/,about page,group-about
4531,763,Tue Jun 26 23:27:32 2018,3.0,discussions-reply/30093/31350,discussion page,discussions-reply
4532,763,Tue Jun 26 23:27:57 2018,,myGroups,mygroups,myGroups
4534,763,Sat Jun 30 21:42:16 2018,3.0,discussions-about/30093/31501?track_id=5b377e5ac803a06f98164caa&src=n,discussion page,discussions-about
4551,795,Sat Jun  2 01:26:06 2018,,status-reply/29702/?track_id=5b119b12c803a02d4e66915e&src=n,status reply,status-reply
4552,795,Sat Jun  2 01:26:06 2018,2.0,status-reply/29702/,group page,status-reply
4553,795,Sat Jun  2 01:28:40 2018,,myGroups,mygroups,myGroups
4554,795,Sat Jun  2 01:28:43 2018,,group-home/88,group home,group-home
4555,795,Sat Jun  2 01:28:44 2018,2.0,group-home/88,group page,group-home
4556,795,Sat Jun  2 01:28:54 2018,,document-detail/56b0ddcd-5acc-11e8-9f39-06e1b31daef4/88/88,document detail,document-detail
4558,795,Sat Jun  2 01:28:56 2018,14.0,document-reader/56b0ddcd-5acc-11e8-9f39-06e1b31daef4/88/29483/88/0/?tabval=full,document detail,document-reader
4560,795,Sat Jun  2 19:15:13 2018,14.0,document-reader/56b0ddcd-5acc-11e8-9f39-06e1b31daef4/88/29483/88/0/?tabval=full,document detail,document-reader
4561,809,Sat Jun 23 00:06:28 2018,3.0,discussions-about/29974/0/,discussion page,discussions-about
4563,809,Sat Jun 23 00:11:24 2018,3.0,discussions-about/29974/0/,discussion page,discussions-about
4961,819,Sat Jun  9 08:38:33 2018,,group-discussions/301,discussion,group-discussions
4962,819,Sat Jun  9 08:38:33 2018,2.0,group-discussions/301,group page,group-discussions
4963,819,Mon Jun 11 05:26:32 2018,,group-discussions/301,discussion,group-discussions
4964,819,Mon Jun 11 05:26:32 2018,2.0,group-discussions/301,group page,group-discussions
4965,819,Fri Jun 22 23:58:17 2018,,group-discussions/301,discussion,group-discussions
4966,819,Fri Jun 22 23:58:17 2018,2.0,group-discussions/301,group page,group-discussions
4967,829,Sat Jun  2 00:25:54 2018,,main-home,main home,main-home
4968,829,Sat Jun  2 00:25:59 2018,,group-home/3,group home,group-home
4969,829,Sat Jun  2 00:26:00 2018,2.0,group-home/3,group page,group-home
4970,829,Sat Jun  2 00:28:20 2018,,group-home/3,group home,group-home
4971,840,Wed Jun 27 20:30:38 2018,,document-detail/d32a83d8-7a19-11e8-b504-022ab9c25860/1354/1354,document detail,document-detail
4972,840,Wed Jun 27 20:30:38 2018,2.0,document-detail/d32a83d8-7a19-11e8-b504-022ab9c25860/1354/1354,group page,document-detail
4974,840,Wed Jun 27 20:30:44 2018,14.0,document-reader/d32a83d8-7a19-11e8-b504-022ab9c25860/1354/30157/1354/0/?tabval=full,document detail,document-reader
4975,840,Wed Jun 27 20:31:09 2018,,main-home,main home,main-home
4976,840,Wed Jun 27 20:31:16 2018,,document-detail/d32a83d8-7a19-11e8-b504-022ab9c25860/1354/1354,document detail,document-detail
4977,840,Wed Jun 27 20:31:16 2018,2.0,document-detail/d32a83d8-7a19-11e8-b504-022ab9c25860/1354/1354,group page,document-detail
4979,840,Wed Jun 27 20:31:22 2018,14.0,document-reader/d32a83d8-7a19-11e8-b504-022ab9c25860/1354/30157/1354/0/?tabval=full,document detail,document-reader
4981,843,Fri Jun  1 22:06:53 2018,14.0,document-reader/c1fcaa5c-65b4-11e8-9f39-06e1b31daef4/3/29688/3/?track_id=5b1172bcc803a0509b153051&src=n,document detail,document-reader
4983,844,Fri Jun 15 12:15:42 2018,,main-home,main home,main-home
4984,844,Fri Jun 15 12:15:46 2018,,events,events,events
4985,844,Fri Jun 15 12:15:49 2018,,group-home/1871,group home,group-home
4986,844,Fri Jun 15 12:15:50 2018,2.0,group-home/1871,group page,group-home
4987,844,Fri Jun 15 12:16:05 2018,,document-detail/0cfb8fe0a6-2b8b-11e8-88a7-026c797a3504/1871/1871,document detail,document-detail
4989,844,Fri Jun 15 12:16:10 2018,14.0,document-reader/0cfb8fe0a6-2b8b-11e8-88a7-026c797a3504/1871/27627/1871/0/?tabval=full,document detail,document-reader
4990,844,Fri Jun 15 12:17:43 2018,,document-detail/0cfb8fe0a6-2b8b-11e8-88a7-026c797a3504/1871/1871,document detail,document-detail
4992,844,Fri Jun 15 12:17:45 2018,14.0,document-reader/0cfb8fe0a6-2b8b-11e8-88a7-026c797a3504/1871/27627/1871/0/?tabval=full,document detail,document-reader
5578,930,Fri Jun 22 23:21:22 2018,,group-about/3,about page,group-about
5579,930,Fri Jun 22 23:21:26 2018,2.0,group-about/3,group page,group-about
5580,930,Fri Jun 22 23:22:02 2018,,group-discussions/3,discussion,group-discussions
5581,930,Fri Jun 22 23:22:04 2018,,group-about/3,about page,group-about
5605,972,Mon Jun  4 21:31:27 2018,,email-notification?src=n,notification,email-notification
5606,972,Mon Jun  4 21:31:55 2018,,main-home,main home,main-home
5607,972,Mon Jun  4 21:32:09 2018,,email-notification,notification,email-notification
5608,972,Mon Jun  4 21:32:11 2018,,manageAccount/,manageaccount,manageAccount
5609,972,Mon Jun  4 21:32:18 2018,,email-notification,notification,email-notification
5610,994,Fri Jun 15 01:51:31 2018,3.0,discussions-about/29788/0/,discussion page,discussions-about
5612,994,Fri Jun 15 01:51:41 2018,3.0,discussions-about/29788/0/,discussion page,discussions-about
5614,994,Fri Jun 15 01:51:55 2018,3.0,discussions-about/29788/0/,discussion page,discussions-about
5616,994,Fri Jun 15 01:59:42 2018,3.0,discussions-about/29783/0,discussion page,discussions-about
5629,1026,Wed Jun 27 00:06:11 2018,3.0,discussions-about/29675/?track_id=5b103bb1c803a00aeb27b7fa&src=n,discussion page,discussions-about
5631,1044,Fri Jun 22 21:11:55 2018,3.0,discussions-reply/29974/?track_id=5b2d1618c803a0709a5a8559&src=w,discussion page,discussions-reply
5633,1044,Fri Jun 22 21:21:00 2018,3.0,discussions-about/29974/31281?track_id=5b2d1a6fc803a054cc7540e0&src=n,discussion page,discussions-about
5635,1044,Fri Jun 22 21:52:58 2018,3.0,discussions-about/29974/31281,discussion page,discussions-about
5637,1084,Thu Jun  7 21:43:45 2018,5.0,event-detail/5373?track_id=5b193fb2c803a064ae64cc9f&src=n,event page,event-detail
5732,1121,Tue Jun 12 00:00:16 2018,3.0,discussions-about/29841/?track_id=5b1e8f1ac803a03fe768921b&src=n,discussion page,discussions-about
5734,1121,Thu Jun 28 20:33:18 2018,3.0,discussions-about/29974/0,discussion page,discussions-about
5736,1196,Wed Jun 27 22:32:57 2018,3.0,discussions-about/30145/?track_id=5b329cefc803a07758601542&src=n,discussion page,discussions-about
5738,1196,Thu Jun 28 08:52:45 2018,3.0,discussions-about/30145/?track_id=5b329cefc803a07758601542&src=n,discussion page,discussions-about
5740,1196,Thu Jun 28 08:58:06 2018,,group-related/1813,group related,group-related
5741,1196,Thu Jun 28 08:58:33 2018,,group-library/1813/,library,group-library
5742,1196,Thu Jun 28 08:58:50 2018,,group-discussions/1813,discussion,group-discussions
5743,1196,Thu Jun 28 08:59:07 2018,,group-library/1813/,library,group-library
5744,1196,Thu Jun 28 08:59:08 2018,,group-related/1813,group related,group-related
5745,1196,Thu Jun 28 08:59:14 2018,,site-home?track_id=5b329cefc803a07758601542&src=n,site home,site-home
5746,1196,Thu Jun 28 08:59:17 2018,3.0,discussions-about/30145/?track_id=5b329cefc803a07758601542&src=n,discussion page,discussions-about
5747,1213,Thu Jun 14 03:45:37 2018,,profile-edit/1213,profile edit,profile-edit
5748,1213,Thu Jun 14 03:45:38 2018,1.0,profile/1213,profile page,profile
5749,1213,Thu Jun 14 03:54:06 2018,,profile-edit/1213,profile edit,profile-edit
5750,1213,Thu Jun 14 03:54:06 2018,1.0,profile/1213,profile page,profile
5751,1213,Thu Jun 14 03:55:06 2018,,profile-edit/1213,profile edit,profile-edit
5752,1213,Thu Jun 14 03:55:06 2018,1.0,profile/1213,profile page,profile
5766,1281,Sat Jun  2 02:36:55 2018,5.0,event-detail/5357?track_id=5b11ac03c803a054fa2c1f88&src=n,event page,event-detail
5769,1281,Fri Jun 22 09:47:51 2018,14.0,document-reader/eb629d82-95f6-11e5-bdf0-021385a45d3c/3/2821/3/0,document detail,document-reader
5770,1281,Fri Jun 22 10:06:32 2018,,group-library/3,library,group-library
5771,1281,Fri Jun 22 10:06:52 2018,,group-library/3/847,library,group-library
5792,1396,Sat Jun  2 02:05:16 2018,14.0,document-reader/c5096f0d-65d1-11e8-9f39-06e1b31daef4/41/29703/41/?track_id=5b11a2d7c803a05f7748462a&src=n,document detail,document-reader
5794,1396,Fri Jun  8 22:09:17 2018,14.0,document-reader/17ab5e4c-6b37-11e8-9f39-06e1b31daef4/41/29817/41/?track_id=5b1ab036c803a079c47b3a26&src=n,document detail,document-reader
6099,1432,Tue Jun 12 22:47:55 2018,,main-home,main home,main-home
6100,1432,Tue Jun 12 22:51:27 2018,,event-entry/,event entry,event-entry
6101,1432,Tue Jun 12 22:54:44 2018,5.0,event-detail/5391,event page,event-detail
6103,1432,Tue Jun 19 00:28:39 2018,,main-home,main home,main-home
6104,1432,Tue Jun 19 00:30:46 2018,,group-home/111,group home,group-home
6105,1432,Tue Jun 19 00:30:46 2018,2.0,group-home/111,group page,group-home
6106,1432,Tue Jun 19 00:30:51 2018,,myGroups,mygroups,myGroups
6107,1432,Tue Jun 19 00:30:54 2018,,group-home/445,group home,group-home
6108,1432,Tue Jun 19 00:30:55 2018,2.0,group-home/445,group page,group-home
6145,1631,Sat Jun 23 02:02:55 2018,5.0,event-detail/5418/0/1?track_id=5b2d4677c803a006cf61352d&src=n,event page,event-detail
6147,1631,Sat Jun 23 02:03:09 2018,3.0,discussions-about/29974/0,discussion page,discussions-about
6168,1725,Fri Jun  1 22:01:29 2018,14.0,document-reader/c1fcaa5c-65b4-11e8-9f39-06e1b31daef4/3/29688/3/?track_id=5b1172d7c803a05c7a7e3c2f&src=n,document detail,document-reader
7905,1749,Thu Jun  7 20:47:59 2018,3.0,discussions-about/29778/0/1?track_id=5b1944bbc803a02f875869f7&src=n,discussion page,discussions-about
7907,2564,Thu Jun 28 03:11:29 2018,,email-notification?src=n,notification,email-notification
7908,2645,Mon Jun 25 22:24:13 2018,,email-notification?src=n,notification,email-notification
7909,2688,Sat Jun  2 04:06:25 2018,4.0,status/29702/0/1?track_id=5b119b1ec803a02d4e66919a&src=n,status,status
7959,2738,Tue Jun 26 19:31:55 2018,3.0,discussions-reply/30010/?track_id=5b2d2a60c803a054cc75413a&src=n,discussion page,discussions-reply
