,user_id,created_time,object_type,url,page_type,url_split
15215,54915,Sat Jun 30 05:51:40 2018,3.0,discussions-reply/30162/?track_id=5b3654e8c803a0739b702c7d&src=w,discussion page,discussions-reply
15217,55107,Sat Jun 23 14:22:43 2018,3.0,discussions-about/29818/,discussion page,discussions-about
15219,55158,Fri Jun  1 21:22:20 2018,3.0,discussions-reply/29659/?track_id=5b116a30c803a05f77483aca&src=w,discussion page,discussions-reply
15221,55158,Fri Jun  1 21:37:07 2018,3.0,discussions-about/28051/,discussion page,discussions-about
15223,55158,Fri Jun  1 21:46:37 2018,,group-discussions/1874,discussion,group-discussions
15224,55158,Fri Jun  8 21:23:01 2018,3.0,discussions-about/29659/30898?track_id=5b1aa60bc803a05ca30a4072&src=w,discussion page,discussions-about
15226,55158,Fri Jun  8 21:23:51 2018,,group-discussions/1874,discussion,group-discussions
15227,55158,Fri Jun  8 21:24:33 2018,3.0,discussions-about/29755/0/,discussion page,discussions-about
15228,55158,Fri Jun  8 21:25:02 2018,,group-discussions/1874,discussion,group-discussions
15229,55158,Fri Jun  8 21:25:28 2018,3.0,discussions-about/29686/,discussion page,discussions-about
15308,57266,Fri Jun 22 21:32:01 2018,3.0,discussions-about/29974/?track_id=5b2d19c0c803a045bf7f9605&src=w,discussion page,discussions-about
15310,57266,Fri Jun 22 21:34:56 2018,3.0,discussions-about/29974/0/1?track_id=5b2d19c0c803a045bf7f9605&src=w,discussion page,discussions-about
15312,57266,Fri Jun 29 21:48:22 2018,3.0,discussions-about/30178/,discussion page,discussions-about
15314,57266,Fri Jun 29 21:57:13 2018,3.0,discussions-about/29974/,discussion page,discussions-about
15432,57844,Sat Jun 30 09:24:32 2018,,main-home,main home,main-home
15433,57844,Sat Jun 30 09:27:01 2018,,library/,library,library
15434,57844,Sat Jun 30 09:43:00 2018,14.0,document upload,document detail,document upload
15435,57844,Sat Jun 30 09:43:02 2018,,reviewDocs/NTc4NDQtMTUzMDMzMTk4MQ==,review-docs,reviewDocs
15436,57844,Sat Jun 30 09:43:28 2018,,library/,library,library
15437,57850,Sun Jun 10 00:59:38 2018,3.0,discussions-about/29778/0,discussion page,discussions-about
15439,57850,Sun Jun 10 01:46:41 2018,3.0,discussions-about/29778/0,discussion page,discussions-about
15441,59238,Tue Jun  5 18:13:53 2018,,pendingConnections?track_id=5b160f36c803a058b360f541&src=n,pending connection,pendingConnections
15442,59238,Tue Jun  5 18:14:03 2018,,pendingConnections,pending connection,pendingConnections
15443,59238,Tue Jun  5 18:14:05 2018,,connections,connection,connections
15444,59238,Tue Jun  5 18:14:20 2018,,main-home,main home,main-home
15445,59238,Tue Jun 26 01:17:25 2018,,main-home,main home,main-home
15446,59238,Tue Jun 26 01:17:38 2018,3.0,discussions-about/30093/0/,discussion page,discussions-about
15448,59238,Tue Jun 26 01:17:41 2018,,main-home,main home,main-home
15449,59238,Tue Jun 26 01:20:17 2018,,events,events,events
15450,59238,Tue Jun 26 01:20:26 2018,,main-home,main home,main-home
15451,59457,Sun Jun 17 03:54:44 2018,3.0,discussions-about/29860/?track_id=5b23e205c803a02cd179b61d&src=w,discussion page,discussions-about
15453,59457,Sun Jun 17 03:55:25 2018,,group-discussions/523,discussion,group-discussions
15454,59457,Sun Jun 17 03:55:59 2018,3.0,discussions-about/29375/0/,discussion page,discussions-about
15455,59457,Sun Jun 17 03:59:04 2018,,group-discussions/523,discussion,group-discussions
15456,59457,Sun Jun 17 04:00:22 2018,3.0,discussions-about/27611/0/,discussion page,discussions-about
15457,59457,Sat Jun 30 03:53:33 2018,3.0,discussions-about/9757/31363?track_id=5b365534c803a01b5f31a7bd&src=w,discussion page,discussions-about
15459,59457,Sat Jun 30 03:53:34 2018,3.0,discussions-about/9757/31363?track_id=5b365534c803a01b5f31a7bd&src=w,discussion page,discussions-about
15460,59457,Sat Jun 30 03:53:34 2018,3.0,discussions-about/9757/31363?track_id=5b365534c803a01b5f31a7bd&src=w,discussion page,discussions-about
15463,60631,Wed Jun 27 17:48:28 2018,,group-home/14,group home,group-home
15464,60631,Wed Jun 27 17:48:28 2018,2.0,group-home/14,group page,group-home
15465,60972,Fri Jun  1 21:20:15 2018,,email-notification?src=w&sec=group,notification,email-notification
15466,61252,Thu Jun 14 00:01:36 2018,3.0,discussions-about/21584/0/,discussion page,discussions-about
15468,61252,Thu Jun 14 00:01:37 2018,,myGroups,mygroups,myGroups
15469,61252,Thu Jun 14 00:01:47 2018,,group-home/1874,group home,group-home
15470,61252,Thu Jun 14 00:01:48 2018,2.0,group-home/1874,group page,group-home
15471,61275,Thu Jun 28 02:14:33 2018,,main-home,main home,main-home
15519,61300,Mon Jun  4 21:16:59 2018,3.0,discussions-about/29202/0/,discussion page,discussions-about
15521,61300,Fri Jun 29 17:31:31 2018,3.0,discussions-about/30176/0/,discussion page,discussions-about
15523,61300,Fri Jun 29 17:31:59 2018,,document-detail/164b2f95-7a48-11e8-9f39-06e1b31daef4/967/967,document detail,document-detail
15525,61300,Fri Jun 29 17:32:02 2018,14.0,document-reader/164b2f95-7a48-11e8-9f39-06e1b31daef4/967/30167/967/0/?tabval=full,document detail,document-reader
15526,61300,Fri Jun 29 17:32:56 2018,3.0,discussions-about/30176/0/,discussion page,discussions-about
15528,61300,Fri Jun 29 17:33:03 2018,14.0,document-reader/587c92b9-7add-11e8-9f39-06e1b31daef4/967/30174/967/,document detail,document-reader
15557,61353,Fri Jun 29 21:40:46 2018,,email-notification?src=w&sec=group,notification,email-notification
15558,61988,Fri Jun 22 22:24:22 2018,3.0,discussions-about/29818/,discussion page,discussions-about
15560,61988,Fri Jun 22 22:45:19 2018,1.0,profile/55402,profile page,profile
15561,61988,Fri Jun 22 22:45:54 2018,3.0,discussions-about/29818/,discussion page,discussions-about
15563,61988,Fri Jun 22 22:45:57 2018,,group-discussions/531,discussion,group-discussions
15564,61988,Fri Jun 22 22:46:32 2018,3.0,discussions-about/30010/0/,discussion page,discussions-about
15565,61988,Tue Jun 26 05:15:07 2018,3.0,discussions-about/29818/,discussion page,discussions-about
15568,61988,Fri Jun 29 23:47:20 2018,3.0,discussions-about/30010/?track_id=5b365551c803a01b5f31a847&src=w,discussion page,discussions-about
15569,62022,Fri Jun 22 10:51:00 2018,3.0,discussions-about/29818/?track_id=5b23e259c803a0099f44aea0&src=w,discussion page,discussions-about
15571,62022,Fri Jun 22 21:18:12 2018,3.0,discussions-about/29818/,discussion page,discussions-about
15573,62022,Fri Jun 29 22:52:35 2018,3.0,discussions-about/30010/0/1?track_id=5b36556dc803a01b5f31a8ce&src=w,discussion page,discussions-about
15589,62094,Tue Jun  5 00:35:23 2018,,group-related/176?tab=2&filter=1,group related,group-related
15590,62094,Tue Jun  5 00:35:27 2018,,notification?tab=2&filter=1,notification,notification
15591,62094,Tue Jun  5 00:35:30 2018,,content-notification,content_notif,content-notification
15592,62094,Tue Jun  5 00:35:42 2018,,main-home,main home,main-home
15593,62500,Fri Jun 22 02:33:11 2018,,betaRegistration/,beta registration,betaRegistration
15594,62500,Fri Jun 22 02:34:46 2018,,myGroups,mygroups,myGroups
15595,62500,Fri Jun 22 02:34:52 2018,,pendingGroups,pending groups,pendingGroups
15596,62500,Fri Jun 22 02:35:27 2018,,profile-edit/62500,profile edit,profile-edit
15597,62500,Fri Jun 22 02:35:28 2018,1.0,profile/62500,profile page,profile
15598,62500,Fri Jun 22 02:35:50 2018,,profile-edit/62500,profile edit,profile-edit
15599,62500,Fri Jun 22 02:35:50 2018,1.0,profile/62500,profile page,profile
15600,62685,Fri Jun 22 21:24:05 2018,,email-notification?src=w&sec=group,notification,email-notification
15601,62924,Thu Jun  7 04:14:25 2018,3.0,discussions-about/29677/0/,discussion page,discussions-about
15603,62984,Tue Jun  5 00:59:54 2018,,main-home,main home,main-home
15604,62984,Tue Jun  5 00:59:58 2018,,myGroups,mygroups,myGroups
15605,62984,Tue Jun  5 00:59:59 2018,,group-home/1508,group home,group-home
15606,62984,Tue Jun  5 01:00:00 2018,2.0,group-home/1508,group page,group-home
15607,62984,Tue Jun  5 01:00:07 2018,3.0,discussions-about/18906/0/,discussion page,discussions-about
15624,64286,Fri Jun 29 21:44:30 2018,3.0,discussions-about/30161/?track_id=5b365591c803a0221c314d4f&src=w,discussion page,discussions-about
15626,64286,Fri Jun 29 21:45:20 2018,,profile-edit/64286,profile edit,profile-edit
15627,64286,Fri Jun 29 21:45:20 2018,1.0,profile/64286,profile page,profile
15671,66495,Fri Jun  8 01:42:26 2018,,group-events/618,events,group-events
15672,66550,Fri Jun  1 21:41:57 2018,3.0,discussions-about/29655/?track_id=5b116abec803a04a697d5a87&src=w,discussion page,discussions-about
15697,67252,Thu Jun 14 18:59:44 2018,,main-home,main home,main-home
15698,67252,Thu Jun 14 19:10:48 2018,,myGroups,mygroups,myGroups
15699,67252,Thu Jun 14 19:10:56 2018,,group-home/1813,group home,group-home
15700,67252,Thu Jun 14 19:10:56 2018,2.0,group-home/1813,group page,group-home
15701,67252,Thu Jun 14 20:56:05 2018,,group-library/1813/,library,group-library
15702,67745,Wed Jun 13 21:44:23 2018,5.0,event-detail/5331,event page,event-detail
15704,67745,Wed Jun 13 21:44:24 2018,5.0,event-detail/5271,event page,event-detail
15707,68968,Tue Jun 26 21:01:37 2018,14.0,document-reader/eef9e3d9-588c-11e8-b504-022ab9c25860/967/29408/967/0/?tabval=full,document detail,document-reader
15708,68968,Tue Jun 26 21:02:49 2018,,site-home,site home,site-home
15710,68968,Tue Jun 26 21:02:53 2018,14.0,document-reader/eef9e3d9-588c-11e8-b504-022ab9c25860/967/29408/967/0/?tabval=full,document detail,document-reader
15713,68968,Tue Jun 26 21:04:27 2018,3.0,discussions-about/29942/?track_id=5b28db8ec803a00beb0b40af&src=d,discussion page,discussions-about
15750,68980,Mon Jun 18 05:05:51 2018,,main-home,main home,main-home
15751,69041,Fri Jun 22 23:56:31 2018,3.0,discussions-about/29974/,discussion page,discussions-about
15753,69041,Sat Jun 23 01:06:02 2018,3.0,discussions-about/19938/?src=w,discussion page,discussions-about
15945,79300,Fri Jun 22 21:39:03 2018,3.0,discussions-about/29974/?track_id=5b2d1a8ec803a006cf6124fb&src=w,discussion page,discussions-about
15947,80963,Fri Jun  1 21:53:55 2018,3.0,discussions-about/29655/?track_id=5b116b16c803a04d70317754&src=w,discussion page,discussions-about
15961,83059,Fri Jun  8 21:30:25 2018,3.0,discussions-about/29782/?track_id=5b1aa744c803a076c52fc250&src=w,discussion page,discussions-about
15963,83059,Fri Jun 29 21:26:26 2018,,document-detail/73d9052d-f166-11e7-a162-022ab9c25860/3/3,document detail,document-detail
15964,83059,Fri Jun 29 21:26:27 2018,2.0,document-detail/73d9052d-f166-11e7-a162-022ab9c25860/3/3,group page,document-detail
15966,83059,Fri Jun 29 21:26:31 2018,14.0,document-reader/73d9052d-f166-11e7-a162-022ab9c25860/3/25475/3/0/?tabval=full,document detail,document-reader
15967,85591,Tue Jun 12 23:38:17 2018,,main-home,main home,main-home
15968,85591,Tue Jun 12 23:38:33 2018,,profile-edit/85591,profile edit,profile-edit
15969,85591,Tue Jun 12 23:38:33 2018,1.0,profile/85591,profile page,profile
15970,85591,Tue Jun 12 23:38:42 2018,,manageAccount/,manageaccount,manageAccount
15971,86006,Wed Jun 20 05:23:16 2018,,kt_tok=eyJpIjoiWVRKa01Ea3laVFptTXpJMiIsInQiOiJaenRPZnVZbVNhVU1oWmlKZ3Mwcmk1anpaeUpBbHNxSENmeVRQXC9QOXpaSkhwbERVb1gxWWVHTkN4bEx6Y2orZHZWeWJSSnpTSzNuM05tTm90cjJ3MHdXcG9jRkFLTFJQbjFPdXI3Y29tVzdhR1wvXC8ySkZBVnFLK3E2UWdlNGNocSJ9#/betaRegistration/,beta registration,kt_tok=eyJpIjoiWVRKa01Ea3laVFptTXpJMiIsInQiOiJaenRPZnVZbVNhVU1oWmlKZ3Mwcmk1anpaeUpBbHNxSENmeVRQXC9QOXpaSkhwbERVb1gxWWVHTkN4bEx6Y2orZHZWeWJSSnpTSzNuM05tTm90cjJ3MHdXcG9jRkFLTFJQbjFPdXI3Y29tVzdhR1wvXC8ySkZBVnFLK3E2UWdlNGNocSJ9#
