,user_id,created_time,object_type,url,page_type
75,1,Wed Jun  6 00:56:48 2018,2.0,group-home/1813,group page
76,1,Wed Jun  6 00:57:00 2018,3.0,discussions-about/29714/0/,discussion page
77,1,Wed Jun  6 02:25:41 2018,NaN,notification,notification
78,1,Wed Jun  6 02:25:43 2018,NaN,group-notification,group notification
79,1,Wed Jun  6 09:01:07 2018,NaN,main-home,main home
80,1,Wed Jun  6 09:01:13 2018,NaN,main-home,main home
81,1,Wed Jun  6 22:06:37 2018,NaN,group-admin-members/1813#extJoinReqList,group admin
82,1,Wed Jun  6 22:06:37 2018,2.0,group-admin-members/1813#extJoinReqList,group page
83,1,Wed Jun  6 22:38:18 2018,5.0,event-detail/5271/30963,event page
84,1,Wed Jun  6 22:38:18 2018,2.0,event-detail/5271/30963,group page
85,1,Wed Jun  6 22:38:25 2018,NaN,group-admin-members/1813,group admin
86,1,Wed Jun  6 22:38:30 2018,NaN,group-news/1813,group news
87,1,Thu Jun  7 02:01:10 2018,NaN,notification,notification
88,1,Thu Jun  7 02:01:12 2018,NaN,content-notification,content_notif
89,1,Thu Jun  7 02:01:18 2018,NaN,group-notification,group notification
90,1,Thu Jun  7 02:01:37 2018,NaN,myGroups,mygroups
91,1,Thu Jun  7 02:01:37 2018,NaN,main-home,main home
92,1,Thu Jun  7 02:05:07 2018,NaN,main-home,main home
93,1,Thu Jun  7 16:39:00 2018,5.0,event-detail/5372,event page
94,1,Thu Jun  7 16:39:01 2018,2.0,event-detail/5372,group page
95,1,Thu Jun  7 16:39:07 2018,NaN,main-home,main home
96,1,Thu Jun  7 17:04:50 2018,NaN,group-home/111,group home
97,1,Thu Jun  7 17:04:52 2018,2.0,group-home/111,group page
98,1,Thu Jun  7 17:05:01 2018,NaN,main-home,main home
99,1,Thu Jun  7 17:33:11 2018,NaN,group-home/22,group home
100,1,Thu Jun  7 17:33:12 2018,2.0,group-home/22,group page
101,1,Thu Jun  7 17:34:30 2018,NaN,main-home,main home
102,1,Thu Jun  7 19:32:46 2018,NaN,main-home,main home
103,1,Thu Jun  7 19:54:53 2018,NaN,myGroups,mygroups
104,1,Thu Jun  7 19:54:57 2018,NaN,main-home,main home
105,1,Thu Jun  7 19:55:13 2018,NaN,group-home/1813,group home
106,1,Thu Jun  7 19:55:13 2018,2.0,group-home/1813,group page
107,1,Thu Jun  7 19:55:31 2018,NaN,group-discussions/1813,discussion
108,1,Thu Jun  7 19:56:26 2018,NaN,createDiscussions/1813,create discussion
109,1,Thu Jun  7 20:14:19 2018,NaN,main-home,main home
110,1,Thu Jun  7 20:17:47 2018,NaN,group-discussions/111,discussion
111,1,Thu Jun  7 20:17:47 2018,2.0,group-discussions/111,group page
112,1,Thu Jun  7 20:17:55 2018,NaN,main-home,main home
113,1,Thu Jun  7 20:20:02 2018,NaN,main-home,main home
114,1,Thu Jun  7 20:20:16 2018,3.0,discussions-about/29778/0/,discussion page
115,1,Thu Jun  7 20:20:16 2018,2.0,discussions-about/29778/0/,group page
116,1,Thu Jun  7 20:29:20 2018,NaN,main-home,main home
117,1,Thu Jun  7 20:29:53 2018,NaN,group-library/1813,library
118,1,Thu Jun  7 20:29:58 2018,2.0,group-library/1813,group page
119,1,Thu Jun  7 20:30:03 2018,NaN,group-news/1813,group news
120,1,Thu Jun  7 20:30:23 2018,NaN,notification,notification
121,1,Thu Jun  7 20:30:25 2018,NaN,content-notification,content_notif
122,1,Thu Jun  7 20:30:35 2018,NaN,main-home,main home
123,1,Thu Jun  7 20:30:51 2018,NaN,group-home/1813,group home
124,1,Thu Jun  7 20:30:51 2018,2.0,group-home/1813,group page
125,1,Thu Jun  7 20:30:57 2018,NaN,group-library/1813/,library
126,1,Thu Jun  7 20:31:07 2018,NaN,main-home,main home
127,1,Thu Jun  7 20:31:52 2018,NaN,group-home/1813,group home
128,1,Thu Jun  7 20:31:52 2018,2.0,group-home/1813,group page
129,1,Thu Jun  7 20:32:10 2018,9.0,announcement-detail/29656/0,announcement
130,1,Thu Jun  7 20:32:24 2018,NaN,group-news/1813,group news
131,1,Thu Jun  7 20:32:43 2018,5.0,event-detail/5271/30963/,event page
132,1,Thu Jun  7 20:32:43 2018,2.0,event-detail/5271/30963/,group page
133,1,Thu Jun  7 20:33:08 2018,NaN,group-news/1813,group news
134,1,Thu Jun  7 20:34:30 2018,NaN,group-news/1813,group news
135,1,Thu Jun  7 20:34:58 2018,3.0,discussions-about/29783/0/,discussion page
136,1,Thu Jun  7 20:37:52 2018,NaN,group-library/1813/1319,library
137,1,Thu Jun  7 20:37:56 2018,2.0,group-library/1813/1319,group page
138,1,Thu Jun  7 20:38:15 2018,NaN,group-library/1813/,library
139,1,Thu Jun  7 20:39:11 2018,NaN,search?tags=Reflecting%20On%20Our%20Roots&groups=1813,search
140,1,Thu Jun  7 20:39:11 2018,2.0,search?tags=Reflecting%20On%20Our%20Roots&groups=1813&my_groups_only=&limit=5&offset=0,group page
141,1,Thu Jun  7 20:39:56 2018,NaN,group-news/1813,group news
142,1,Thu Jun  7 20:40:17 2018,NaN,group-about/1813/,about page
143,1,Thu Jun  7 20:40:39 2018,NaN,group-news/1813,group news
144,1,Thu Jun  7 20:48:55 2018,1.0,profile/180797,profile page
145,1,Thu Jun  7 20:49:00 2018,NaN,main-home,main home
146,1,Thu Jun  7 20:54:59 2018,NaN,main-home,main home
147,1,Thu Jun  7 20:55:06 2018,3.0,discussions-about/29782/0/,discussion page
148,1,Thu Jun  7 20:55:06 2018,2.0,discussions-about/29782/0/,group page
149,1,Thu Jun  7 20:55:18 2018,NaN,main-home,main home
150,1,Thu Jun  7 20:57:17 2018,NaN,group-news/1813,group news
151,1,Thu Jun  7 20:57:18 2018,2.0,group-news/1813,group page
152,1,Thu Jun  7 21:28:12 2018,NaN,group-library/1813/,library
